,all_ratio,developer
5770,49%,"Six Foot, YAGER"
5771,100%,"Six Foot, YAGER"
5772,80%,窝窝社
5773,90%,Orbit Games
5774,82%,Acerola
5775,75%,The Crow Studios
5776,87%,LT
5777,95%,Hyperstrange
5778,94%,White Owls Inc.
5779,87%,Deimos Games
5780,100%,Space Mace
5781,83%,Big Robot Ltd
5782,89%,Milkstone Studios
5783,90%,Oppai Reveal Studios
5784,66%,Helium9 Games
5785,81%,Animvs Game Studio
5786,100%,Bigosaur
5787,80%,Zen Studios
5788,95%,Windybeard
5789,93%,SEGA
5790,100%,Juggler Games
5791,62%,Snail Games USA
5792,80%,Interactive Fate
5793,62%,Cyanide Studio
5794,91%,Gamers for Good
5795,95%,Magnesium Ninja
5796,84%,"Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)"
5797,65%,Freejam
5798,79%,Retora Games
5799,82%,Dali Games
5800,14%,
5801,96%,Sierra Lee
5802,87%,BS STUDIOS
5803,100%,phixcat
5804,100%,灰猫
5805,57%,3dm_live_wallpapers
5806,91%,NanoidGames
5807,85%,Jan Zelený
5808,93%,Root Nine Studio
5809,81%,
5810,93%,Han Zhiyu
5811,85%,Philipp Lehner
5812,78%,Burak Dabak
5813,84%,Artur Berkowski Berobasket
5814,84%,ZeroByter Games
5815,68%,Juvty Worlds Ltd.
5816,89%,"Alexey Bokulev, Sergei Klimov, Charlie Oscar Lima Tango Interactive Entertainment"
5817,69%,Skullcap Studios
5818,87%,Chair Game Studio
5819,62%,Auroch Digital
5820,95%,SCS Software
5821,95%,SCS Software
5822,74%,Nexon Korea Corporation
5823,40%,GameHollywood
5824,44%,Rafael Farias
5825,100%,etherane
5826,75%,CUTE ANIME GIRLS
5827,64%,Agate
5828,100%,Heavenward Games
5829,90%,"CAPCOM CO., LTD."
5830,84%,
5831,92%,
5832,80%,Wazen
5833,63%,Samer Khatib (Snowconesolid Productions)
5834,100%,TAITO CORP.
5835,77%,BrainStorming Team
5836,76%,Wargaming Group Limited
5837,91%,
5838,90%,Systence Games
5839,84%,EP Games®
5840,63%,China Sky Carving Game
5841,90%,SadSquare Studio
5842,52%,甲山林娛樂股份有限公司
5843,100%,Lightning Zebra
5844,93%,Akaba Studio
5845,86%,清之鸣
5846,57%,Playtouch
5847,96%,凝冰剑斩
5848,71%,Never Knows Best制作组
5849,77%,一次元创作组
5850,88%,The Secret Pie
5851,98%,Blue Mammoth Games
5852,96%,Tencent Games
5853,68%,AndeoGAMES
5854,100%,GAMELAB Zrt.
5855,60%,
5856,80%,Quasar
5857,100%,BlueEagle Productions
5858,95%,CCYY
5859,81%,S-Game
5860,75%,Inertia Game Studios
5861,23%,Gamenesis
5862,77%,KeokeN Interactive
5863,81%,Matt Workman
5864,97%,Brouillard
5865,64%,Hanakai Studio
5866,77%,IceSitruuna
5867,97%,System Erasure
5868,43%,Coffee-Powered Games
5869,94%,Realmforge Studios
5870,84%,Intravenous Software
5871,98%,Greg Lobanov
5872,86%,Arc System Works
5873,87%,Arc System Works
5874,83%,
5875,71%,U-Play Online
5876,92%,
5877,87%,灰烬天国
5878,68%,Juvty Worlds Ltd.
5879,94%,
5880,47%,"CRAFTS &amp; MEISTER Co., Ltd."
5881,62%,"CRAFTS &amp; MEISTER Co., Ltd."
5882,80%,Pixel Cattle Games
5883,43%,Mercator
5884,100%,SpaceSoySauceStudio
5885,62%,Bigmoon Entertainment
5886,100%,迷糊的安安
5887,100%,Buddy System
5888,81%,Super Bit Machine
5889,83%,
5890,81%,Lunar Ray Games
5891,60%,RYM GAMES
5892,93%,BaileyHausdorff Systems
5893,97%,WashBear
5894,40%,Zever Games
5895,68%,KT Racing
5896,77%,Mia Blais-Côté
5897,87%,SEGA
5898,58%,Freeway Interactive
5899,98%,一次元创作组
5900,69%,Ninba
5901,69%,Lycanic Studios
5902,92%,RoKo0 (Roman Konyukhov)
5903,81%,y8.com
5904,79%,Monticube
5905,60%,Prime Studios
5906,100%,a bonfire of souls
5907,17%,Coffee-Powered Games
5908,78%,O.T.K Games
5909,100%,Hunters Game Dev
5910,97%,
5911,100%,"宅羊, 龙二"
5912,79%,StarSystemStudios™
5913,70%,"Badru, Michael Bell"
5914,52%,七彩绘色
5915,78%,hongjigame.com
5916,71%,
5917,100%,Wipe Studio
5918,81%,天河(TH Game)
5919,26%,Microlith Games
5920,79%,AFY Games
5921,46%,IronZog
5922,61%,Mad Labyrinth Studios LLC
5923,91%,The Voxel Agents
5924,96%,"Stirfire Studios, The Fear Corp"
5925,72%,
5926,89%,Delve Interactive
5927,84%,EVIL GAMES
5928,99%,
5929,96%,Rusty Lake
5930,90%,Rusty Lake
5931,69%,Thomson Interactive
5932,47%,PrimeBit Games S.A.
5933,84%,Laina Interactive
5934,70%,Stardock Entertainment
5935,76%,Nemoïd Apps
5936,96%,spleen
5937,82%,spleen
5938,94%,PigeonDev
5939,93%,Jakob Vidal
5940,59%,inXile Entertainment
5941,96%,Flamebait Games
5942,91%,Double Stallion Games
5943,88%,Behaviour Digital Inc.
5944,76%,
5945,74%,"Nippon Ichi Software, Inc."
5946,81%,Robot Gentleman
5947,69%,Vulcan
5948,76%,阿达游戏
5949,53%,Dovetail Games
5950,90%,dopagames
5951,86%,Galulugame
5952,28%,Star Legion
5953,57%,Evil Twin Artworks
5954,74%,Soma Games
5955,71%,
5956,65%,Z4
5957,81%,Opendream
5958,81%,Tower Games
5959,64%,Alex Meng
5960,82%,SCS Software
5961,44%,"Frontier Developments, Asobo Studio"
5962,72%,Legend Studio
5963,76%,Konstructors Entertainment
5964,58%,Gears for Breakfast
5965,50%,
5966,78%,"ILINX, Inc."
5967,100%,
5968,72%,socah development
5969,78%,章鱼罐头制作组
5970,95%,Onyx Lute
5971,51%,JiangHu Studio
5972,60%,90Games
5973,69%,Techland
5974,100%,Kekitopu
5975,54%,Wargaming Group Limited
5976,90%,Wargaming Group Limited
5977,100%,Mia Blais-Côté
5978,39%,HexWar Games
5979,83%,SIGONO INC.
5980,94%,Cosmic Picnic
5981,86%,Kunos Simulazioni
5982,69%,JOL Studios
5983,63%,weltenbauer. Software Entwicklung GmbH
5984,57%,WSJ Team
5985,88%,Twice Circled
5986,91%,MyDreamForever
5987,73%,Wonderstruck
5988,86%,Siberian Mouse
5989,90%,68k Studios
5990,100%,Rizme
5991,100%,vidiludi games and entertainment
5992,92%,"PixelShard, KillHouse Games"
5993,66%,e-visualsoft
5994,66%,Wickey Ware
5995,76%,MyDreamForever
5996,92%,
5997,80%,Wargaming Group Limited
5998,98%,Ludic Studios
5999,67%,掌烛文化
6000,82%,MyACG Studio
6001,83%,
6002,96%,
6003,34%,Dovetail Games
6004,34%,Paradox Development Studio
6005,22%,Visual Concepts
6006,97%,Lunar Great Wall Studios
6007,83%,Arbitrary Metric
6008,61%,Studio Gamaii
6009,70%,
6010,71%,Toadman Interactive
6011,74%,"Diedemor Studio, Anatoly Efremov"
6012,61%,momoStorm Entertainment
6013,63%,Butterflyware
6014,51%,Icebird Studios
6015,83%,aQuadiun
6016,64%,KingsIsle Entertainment
6017,72%,Kyodai Ltd
6018,60%,"Kevin Nitschmann, Darius Bode"
6019,93%,Evan Hecht
6020,82%,NeXToNe
6021,73%,Creaky Corpse Ltd
6022,74%,The Knights of Unity
6023,83%,Osgoode Media
6024,100%,Mia Blais-Côté
6025,66%,"Alexander Guo, Emile Savard"
6026,82%,"IDEA FACTORY Co., Ltd., COMPILE HEART Co., Ltd., FELISTELLA Co., Ltd."
6027,50%,"IDEA FACTORY Co., Ltd., COMPILE HEART Co., Ltd., FELISTELLA Co., Ltd., IDEA FACTORY Co., Ltd."
6028,89%,BANDAI NAMCO Studios Inc.
6029,92%,BANDAI NAMCO Studios Inc.
6030,88%,BANDAI NAMCO Studios Inc.
6031,83%,HeadHuntersGames
6032,91%,Unknown Worlds Entertainment
6033,96%,Roencia
6034,90%,
6035,91%,Jordan Allen
6036,90%,Old Skull Games
6037,88%,Andrii Vintsevych
6038,91%,KishMish Games
6039,72%,Z9K Games
6040,75%,Level 99 Games
6041,83%,PanGuoJun
6042,90%,Graviteam
6043,36%,"FRAdrift, RewindApp"
6044,86%,
6045,36%,ZOV GAME STUDIO
6046,57%,Night Dreams Studio
6047,66%,Second Order
6048,84%,com8com1 Software
6049,76%,N-Tri Studio
6050,90%,Rabbiroo
6051,91%,SCS Software
6052,70%,Night Dreams Studio
6053,100%,icefill
6054,70%,
6055,94%,IDALGAME
6056,100%,EXOR Studios
6057,62%,Atomic Jelly
6058,83%,Larian Studios
6059,94%,Paul Bird
6060,75%,Games Farm
6061,90%,LoneDev
6062,45%,Screwdriver Entertainment
6063,52%,Soleil Ltd.
6064,48%,Soleil Ltd.
6065,52%,Soleil Ltd.
6066,71%,
6067,50%,"Wix Games, MAD.com"
6068,83%,PrinceXI
6069,87%,Turnspender
6070,80%,Two Point Studios
6071,81%,
6072,56%,MAGIX Software GmbH
6073,70%,
6074,60%,"Bondo Games, Blake Gillman"
6075,74%,Kubat Software
6076,82%,"Bit Golem, Ultimate Games S.A."
6077,94%,Sabotage
6078,75%,TML-Studios
6079,53%,Expansive Worlds
6080,100%,WJLEGAME
6081,52%,Vostok Games
6082,61%,HB Studios Multimedia Ltd.
6083,82%,Ben Esposito
6084,75%,"QLOC, Dimps Corporation"
6085,42%,Fatshark
6086,70%,Monomyth Games
6087,71%,Crytivo
6088,88%,"Archetype Interactive, Andrew and Christopher Kirmse"
6089,65%,
6090,90%,Vidroid
6091,83%,meokigame
6092,73%,
6093,8%,Star Tactics Team
6094,65%,RewindApp
6095,16%,Joystick Knights
6096,64%,
6097,72%,Tendogames
6098,84%,SimpleLogic
6099,48%,Asmodee Digital
6100,82%,ZOV GAME STUDIO
6101,83%,"Charlie Behan, Ciaran Mooney"
6102,80%,BBB Games
6103,75%,Codemasters
6104,67%,Only Voxel Games
6105,100%,CapPlay
6106,95%,Frontwing
6107,66%,
6108,73%,Orange Cat Studio
6109,60%,Dave Catling
6110,94%,Serenity Forge
6111,90%,WRF Studios
6112,93%,Tomorrow Corporation
6113,82%,IEVO
6114,63%,Feelin Games
6115,54%,"Battle of Kings Team, Wenkly Studio Sp. z o.o."
6116,80%,Mia Blais-Côté
6117,60%,NVYVE® Studios
6118,66%,Extrokold Games
6119,85%,SOG
6120,98%,StellarXiela
6121,88%,MyACG Studio
6122,100%,melessthanthree
6123,93%,DrinkBox Studios
6124,53%,ELECTROSTALIN ENTERTAINMENT
6125,72%,Reversed Interactive
6126,45%,Naval Sims
6127,67%,IOA Games
6128,67%,Angry Mob Games
6129,93%,FRENCH-BREAD
6130,40%,"Visualistic Studios, LLC."
6131,96%,Kyuppin
6132,91%,"G+工程团, 橘子班"
6133,64%,TeePee Studios
6134,97%,"Vaka Game Magazine, Team Ladybug"
6135,68%,Intergalactic Education LLC
6136,70%,AJetBear Entertainment
6137,71%,AdroVGames
6138,72%,StainlessHeart
6139,64%,"Kit Gardner, Sam Robinson, Holly Gardner, Jason Runkel, Tommy Yoder, Josh Perusse"
6140,100%,
6141,89%,Sundae Month
6142,72%,Xerologik
6143,86%,Silence Game
6144,70%,Rusto
6145,91%,KX Games
6146,58%,yeswecamp
6147,45%,
6148,80%,Krafted Games
6149,56%,
6150,86%,Gaming Minds Studios
6151,91%,"Loki, GirlGame"
6152,36%,Fury Strike Team
6153,80%,Broxilia LTD
6154,88%,Streum On Studio
6155,84%,КиКо
6156,23%,Different Game Studio
6157,100%,Yai Gameworks
6158,75%,Snowpeak Studio
6159,66%,Steel Wing
6160,100%,"朵游社, Fantasia Studio"
6161,96%,游学者狐狸
6162,96%,東方幕華祭制作组
6163,89%,Dovetail Games
6164,100%,"COSEN, TALESSHOP"
6165,80%,Biubiubiu
6166,66%,Lingo Ludo
6167,90%,Flippfly LLC
6168,100%,WyvernWare
6169,95%,David Stark
6170,81%,ATOMIC BREATH
6171,56%,"USERJOY Technology Co.,Ltd."
6172,63%,DimleTeam
6173,94%,HyacinthHeart
6174,75%,
6175,76%,Valiant Game Studio AB
6176,68%,Nerdook Productions
6177,68%,Lazy Bear Games
6178,68%,Fearem
6179,55%,Neobite Games
6180,84%,Ellie's Lunchbox
6181,76%,Dustwind Studios
6182,83%,Daedalic Entertainment
6183,81%,Modus Interactive Games
6184,45%,宇峻奧汀科技股份有限公司
6185,94%,1111
6186,54%,Hazier Studio
6187,36%,Proximity Games
6188,75%,Petroglyph
6189,72%,CreativeForge Games
6190,80%,BlackFoot Studios
6191,84%,Madar Games
6192,94%,Krome Studios
6193,65%,Behaviour Digital Inc.
6194,68%,White Rabbit
6195,54%,
6196,56%,BlackRat
6197,100%,Mia Blais-Côté
6198,84%,SoundAndFuryGames
6199,94%,The Strangers
6200,100%,meokigame
6201,87%,"Grumpyface Studios, Finite Reflection Studios"
6202,90%,"BLESTWORKS, 橘子班"
6203,62%,Team in Time
6204,86%,Nicholas Pellegrino
6205,70%,
6206,77%,RiceMaster
6207,55%,Kizami Fans Club
6208,100%,Darong Studio
6209,89%,"Cube, DMM GAMES LLC."
6210,94%,GFX47
6211,94%,Team Cherry
6212,60%,Periscope Games
6213,60%,CREATIVE ASSEMBLY
6214,94%,"CAPCOM Co., Ltd."
6215,96%,"CAPCOM Co., Ltd."
6216,95%,"CAPCOM Co., Ltd."
6217,63%,"CAPCOM Co., Ltd."
6218,54%,"CAPCOM Co., Ltd."
6219,100%,"CAPCOM Co., Ltd."
6220,100%,"CAPCOM Co., Ltd."
6221,100%,"CAPCOM Co., Ltd."
6222,75%,凌剑工作室
6223,65%,Cloudmoon Studios
6224,100%,Level-5
6225,95%,Petushock Production
6226,84%,Luminous
6227,73%,Arc System Works
6228,65%,Arc System Works
6229,39%,Konami Digital Entertainment
6230,80%,"EYEJAM STUDIOS, Damien Sueur"
6231,48%,Eforb
6232,96%,Wadjet Eye Games
6233,68%,"Ian, Megan, Maxen"
6234,86%,Telltale Games
6235,61%,Hands!
6236,92%,甲山林娛樂股份有限公司
6237,95%,"Gamma-Lambda Games, Wingjoy Games"
6238,89%,
6239,94%,Kasey Ozymy
6240,96%,Sloclap
6241,72%,"Ghost Town Games Ltd., Team17 Digital Ltd"
6242,88%,"Ghost Town Games, Team17 Digital Ltd"
6243,95%,Archive Entertainment
6244,90%,Uruca Game Studio
6245,94%,Motion Twin
6246,42%,WEBZEN
6247,94%,Zoink Games
6248,93%,Eric Baskin
6249,60%,Webzen
6250,72%,Vague Pixels
6251,69%,MGstudio
6252,77%,Walnut LLC
6253,72%,RewindApp
6254,100%,Life Jumb DT
6255,42%,"Borov, Sashka Shlapik"
6256,95%,GRIP420
6257,92%,L. Stotch
6258,100%,
6259,80%,90s Studio
6260,80%,Moshe Linke
6261,69%,SUGAR STAR
6262,84%,TREON Games
6263,42%,Joystick Knights
6264,85%,Karosu-Maker
6265,52%,Dreambakers
6266,96%,Bawu Team
6267,79%,Titan Studio
6268,92%,CryptMade
6269,91%,Breadmeat
6270,96%,Penny McDonald
6271,85%,AMPLITUDE Studios
6272,83%,AMPLITUDE Studios
6273,66%,LillyWelland inc.
6274,68%,Big Moustache Games
6275,75%,Dohi Sweden AB
6276,79%,k.Song Tan
6277,90%,凝冰剑斩
6278,71%,PLAYWITH Inc.
6279,100%,MagicK
6280,83%,Bmc Studio
6281,94%,Powerhoof
6282,81%,FobTi interactive
6283,95%,IVR
6284,58%,99 Game Studio
6285,53%,Axyos Games
6286,96%,理想乡开拓者
6287,91%,TAITO CORP.
6288,100%,Victory Lap Games
6289,85%,SapphireSoft
6290,98%,Zono
6291,84%,"ESAT, Modular Souls"
6292,60%,Frostkeep Studios
6293,80%,"Nightdive Studios, Probe Entertainment, Iguana Entertainment"
6294,60%,Unbroken Studios
6295,75%,Rocky Games
6296,66%,SIMAGINATION
6297,75%,
6298,67%,"Bit Kid, Inc."
6299,81%,NIGORO
6300,92%,
6301,41%,Inu to Neko
6302,95%,4H StudioLab
6303,80%,HorusGames
6304,60%,Morozov Sergey
6305,48%,Racing Bros
6306,78%,樱
6307,80%,L. Stotch
6308,92%,
6309,63%,Pickle Drugs
6310,64%,Girls Dance studio
6311,70%,Kevin Yang Games
6312,37%,Kiddy
6313,100%,GiBar
6314,95%,Walter Machado
6315,41%,Eight Pixels Square
6316,78%,Flightless
6317,70%,WonderlandKazakiri
6318,98%,
6319,98%,NEKO WORKs
6320,84%,Clickbait Studios
6321,20%,Simulators Live
6322,79%,"Charlie Behan, Raddy Peid"
6323,91%,House Pixel Games
6324,93%,Jae Lee
6325,98%,藍茶高校 Blue Tea College
6326,90%,rese
6327,100%,Jutsu Games
6328,77%,Stoic
6329,80%,We Are Fuzzy
6330,72%,Hubblegum
6331,84%,Suricate Software
6332,85%,
6333,50%,Allosaurus
6334,88%,Battleham
6335,92%,
6336,94%,Studio Stobie
6337,59%,Puppet Master Games
6338,93%,北京九鳳信息科技有限公司
6339,76%,"Ducat, Zimogor"
6340,61%,DYNAMICNEXT
6341,95%,Mirain Mainklain
6342,75%,DIGIDICED
6343,97%,"Pillow Fight Games, Worst Girls Games"
6344,100%,TIS tactical intelligence service
6345,77%,Radiant Entertainment
6346,70%,NLB project
6347,100%,
6348,43%,DRUNKEN APES
6349,94%,Nyamakop
6350,100%,University of Cambridge Engineering Department
6351,79%,Blindflug Studios AG
6352,91%,Anshar Studios
6353,90%,Maksim Chudaev
6354,81%,Joshua Hughes
6355,81%,Ubisoft
6356,66%,"CAPCOM CO., LTD"
6357,77%,KADOKAWA CORPORATION
6358,25%,Maddnuss Games
6359,93%,Rimma Filato
6360,75%,Tsurudeira
6361,89%,Alex Olinkiewicz
6362,52%,Playtouch
6363,94%,忆夏之铃制作组
6364,100%,DRUNKEN APES
6365,92%,Pirotexnik
6366,93%,Creative Black Chair
6367,52%,Jeremy
6368,5%,Dreambakers
6369,86%,Pouchmouse
6370,86%,"INTI CREATES CO., LTD."
6371,72%,Ogopogoid Entertainment
6372,93%,
6373,73%,Evil Bite
6374,93%,Acerola
6375,92%,Rapscallion
6376,97%,Lose
6377,69%,"Nikita ""Ghost_RUS"""
6378,80%,HakJak Productions
6379,66%,Lazurite Games
6380,100%,Urban Goose Games
6381,95%,Studio Elfriede
6382,46%,FreezeNova
6383,82%,Rekim
6384,78%,Shiro Games
6385,61%,Skyhook Games
6386,87%,Driving Force Games
6387,100%,ektomarch
6388,75%,Alexander Goodwin
6389,87%,Idea Factory
6390,91%,Chris Wade
6391,81%,Abrakam SA
6392,90%,Abrakam SA
6393,100%,Göksan Güner
6394,52%,Ekrcoaster
6395,54%,Wipe studio
6396,90%,绚丽奈落
6397,97%,For Kids
6398,90%,
6399,80%,Useless Machines
6400,53%,
6401,92%,"Christian Whitehead, Headcannon, PagodaWest Games"
6402,97%,
6403,93%,
6404,88%,Reinkout Games
6405,77%,TAITO CORP.
6406,72%,Trophy Games ApS
6407,95%,"TALESSHOP Co., Ltd."
6408,77%,"Grip Digital, Terrible Posture Games"
6409,60%,devotid
6410,86%,BGIXED
6411,88%,Team Nomad
6412,85%,"Simon Says: Play!, Yazorius"
6413,87%,Fantastico Studio
6414,82%,Rocketcat Games
6415,60%,
6416,16%,Pro Social Games
6417,81%,Rival Games Ltd
6418,90%,
6419,74%,Super Trampers Studio
6420,89%,
6421,73%,Agafonoff
6422,62%,TUNNEL no.73
6423,73%,Dovetail Games
6424,50%,RewindApp
6425,100%,RewindApp
6426,80%,ebi-hime
6427,50%,Hentai.US
6428,87%,UnholY CreatioN
6429,89%,Rafael Burgos
6430,83%,Wizard Mode
6431,96%,
6432,62%,Space Boat Studios
6433,100%,BrainGoodGames
6434,26%,34BigThings srl
6435,90%,O.T.K Games
6436,66%,City Interactive S.A.
6437,45%,City Interactive S.A.
6438,88%,
6439,100%,Project Moon
6440,79%,Ambiera e.U.
6441,90%,
6442,64%,Holospark
6443,86%,"UNKNOWN GAMES, M2 Co.,LTD"
6444,100%,illegaldogs
6445,82%,Whimsical
6446,36%,Kody Stone
6447,93%,Macrales Studio
6448,78%,Three Fields Entertainment
6449,58%,
6450,78%,Proxy Studios
6451,98%,IMakeGames
6452,70%,Symmetric Games
6453,96%,Betterburg
6454,100%,
6455,61%,
6456,69%,Fever Game Studios
6457,100%,Nexus Games LLC
6458,100%,Zazulin Alexander
6459,66%,Casual.US
6460,100%,Interactive Productline Team
6461,93%,Ankake Spa
6462,54%,"StartupTim, LLC, Tim Sullivan"
6463,92%,VladCastillo
6464,100%,Skeptika1
6465,70%,Snkl Studio
6466,73%,Nomad Games
6467,83%,
6468,47%,PilotLumpa Gaming
6469,82%,Lowe Bros. Studios LLC
6470,66%,Carbon Games
6471,100%,"Brogames, IceMakerZero"
6472,83%,Fan Shi
6473,77%,"Cortex Reader Studios, Dispine Studios"
6474,84%,Zolden Games
6475,69%,Online OciGrup SL
6476,87%,Jerk Circle Media
6477,40%,Nikita Online
6478,41%,RewindApp
6479,70%,Pixel Gangsta Studio
6480,95%,KAIJYU-09
6481,23%,Fury Games Production
6482,94%,roet
6483,90%,Valsar
6484,40%,Gaijin Entertainment
6485,70%,Gaijin Entertainment
6486,65%,Gaijin Entertainment
6487,37%,Gaijin Entertainment
6488,100%,N-Tri Studio
6489,88%,JAYFLGAMES
6490,72%,Polychroma Games
6491,69%,Easy game
6492,100%,Nick Cellini
6493,73%,
6494,52%,Blue Sunset Games
6495,84%,Subtle Games
6496,72%,
6497,100%,Stylus Software
6498,100%,Enigmatic Network
6499,52%,Radmir Kadyrov
6500,95%,Miroslav Fídler
6501,30%,Zerstoren Games
6502,61%,DIMPS
6503,100%,Shenshella
6504,61%,Cat Nigiri
6505,100%,
6506,100%,Adventure Islands
6507,68%,许志修
6508,100%,Animyst Games
6509,93%,Bawu Team
6510,84%,"TALESSHOP Co., Ltd."
6511,76%,"Studio Snowspot, T Allen Studios"
6512,51%,Ivory Tower
6513,50%,Ivory Tower
6514,89%,Turbo Chimp
6515,58%,Milestone S.r.l.
6516,51%,Eric Sun
6517,100%,Keen Games
6518,97%,
6519,91%,Wolfgangis
6520,63%,WarSaw Games
6521,66%,Digital Continue
6522,92%,Choice of Games
6523,44%,Cyanide Studio
6524,100%,rokaplay
6525,94%,nada studio
6526,84%,凌望工作室
6527,86%,GameHouse
6528,95%,"KOEI TECMO GAMES CO., LTD."
6529,60%,Georgian Opariuc
6530,100%,teamsupport
6531,80%,
6532,95%,"喵呜喵5, 0Cube"
6533,100%,frecle ApS
6534,82%,OneShark
6535,95%,Scott Cawthon
6536,80%,
6537,90%,
6538,91%,Physiology with Dr Christian
6539,100%,AsicxArt
6540,78%,Caustic Reality
6541,62%,Corrosive Studios LLC
6542,92%,Duke Studio
6543,91%,LLC Blini Games
6544,100%,Game-Labs
6545,93%,"Horizon's End, Inc."
6546,70%,Albatros Softworks
6547,66%,BadWolf Games
6548,57%,
6549,52%,
6550,80%,CSM
6551,45%,Dreambakers
6552,100%,meokigame
6553,71%,"Azorian, kron0s_alexey, Pavel_Balakin"
6554,90%,Windward_Birds
6555,88%,
6556,38%,Loaded Games
6557,80%,Wargaming Group Limited
6558,100%,Q'Prod
6559,100%,Dovetail Games
6560,41%,Educational Games
6561,95%,
6562,70%,Joshua Harrison Blayney
6563,100%,Draftline Games
6564,100%,
6565,72%,A Sweet Studio
6566,93%,
6567,30%,Lightning Zebra
6568,88%,Movavi
6569,92%,NS STUDIO
6570,96%,GiBar
6571,72%,Rigidbody
6572,85%,Pink Potion
6573,80%,Christopher Wagner
6574,95%,
6575,69%,Somer Games
6576,46%,ChillX Ltd
6577,30%,Storyline Team
6578,88%,Storybird Games
6579,49%,Fntastic
6580,86%,Flying Islands Team
6581,100%,SnoutUp
6582,78%,дель7in
6583,45%,InImages
6584,83%,Diedemor Studio
6585,87%,"Psyonix, Inc."
6586,79%,98DEMAKE
6587,52%,Monkeys Lab.
6588,93%,えいえいっ! 怒った?
6589,70%,Nandee - Atasuke10
6590,0%,Dreambakers
6591,89%,Spell Helix
6592,50%,Kerim Kumbasar
6593,50%,LozMarblz Inc.
6594,74%,Darkflow Software
6595,95%,PixelGreeds
6596,69%,KicklessGame
6597,62%,y8.com
6598,43%,ThankGame.com
6599,61%,L. Stotch
6600,77%,Gran Skrea Online
6601,79%,GoldenGod Games
6602,90%,"Trey Sherman, Jonathan Hall, Dean Cruz, Zachary ZumTobel, David Burns"
6603,93%,Gloria Works
6604,66%,Russian Fishing
6605,66%,Mirabolis Studios
6606,81%,
6607,100%,"Fancy Fish Games, SnöBox Studio"
6608,100%,
6609,41%,Trend Redaktions- und Verlagsgesellschaft mbH
6610,75%,Kite Games
6611,52%,Simtech Vision
6612,40%,Artepi Corporation
6613,57%,JoyImpact
6614,95%,Snkl Studio
6615,44%,Coffee-Powered Games
6616,61%,UNAmedia
6617,76%,Yann Zunn
6618,81%,
6619,72%,Racing Bros
6620,64%,"Amy Li, Mitchell Shannon, Morgan Wesemann, Stacie McLaury, Tim Arterbury, Trystan Jasperson"
6621,75%,Tatamibeya 畳部屋
6622,66%,Concrete Games
6623,70%,Movie Games Lunarium
6624,88%,Behaviour Digital Inc.
6625,64%,Expansive Worlds
6626,81%,Music Breath
6627,93%,Haemimont Games
6628,62%,mPower Games Studio
6629,100%,Star Legion
6630,46%,Konami Digital Entertainment
6631,79%,Ruari O'Sullivan
6632,69%,Frontier Developments
6633,81%,Frontier Developments
6634,33%,Breakpoint
6635,94%,Early Melon
6636,75%,Crisp App Studio
6637,75%,Arkane Studios
6638,45%,
6639,34%,
6640,100%,"Mixed Realms Pte Ltd, Swag Soft Holdings Pte Ltd"
6641,91%,Altay Workshop
6642,96%,SCS Software
6643,92%,Windybeard
6644,23%,ChimpLabs
6645,92%,Gaming Minds Studios
6646,91%,Entertainment Forge
6647,100%,GiBar
6648,72%,IOSoccer Team
6649,92%,Acid Spy Games
6650,100%,Artii Games LLC
6651,32%,10Ants Hill
6652,88%,Bomber Studio
6653,64%,GDNomad
6654,50%,
6655,94%,秋之忧郁
6656,65%,Milestone S.r.l.
6657,90%,
6658,95%,Quiet River
6659,92%,
6660,100%,
6661,100%,
6662,95%,FHNBHJ
6663,71%,AFBIK Studio
6664,100%,Orange_Juice
6665,72%,True Illusion Software
6666,92%,Zazulin Alexander
6667,83%,suxamethonium
6668,55%,Lycian Studio
6669,68%,For Kids
6670,68%,Cybernetic Walrus
6671,90%,NS STUDIO
6672,61%,NeocoreGames
6673,89%,Ink Stains Games
6674,14%,Miracle Studio
6675,85%,Arc System Works
6676,74%,Big Deez Productions
6677,95%,Slightly Mad Studios
6678,96%,Hollow Tree Games
6679,73%,Arc System Works
6680,93%,Gamers for Good
6681,100%,LillyWelland Inc.
6682,73%,BekkerDev Studio
6683,38%,Second Reality
6684,35%,Joystick Knights
6685,78%,PigeonDev
6686,58%,Limbic Entertainment GmbH
6687,60%,Heroic Leap Games
6688,91%,Team 33
6689,91%,
6690,70%,Ponywolf
6691,100%,Red Dot Games
6692,88%,Reine Works
6693,47%,Bloody Pixel
6694,72%,Kirisame Jump
6695,83%,BarelyEntertainment
6696,70%,"Valhalla Universe, Inc."
6697,100%,Battlecruiser Games
6698,82%,NC
